"Country","Subject Descriptor","Units","Scale","Country/Series-specific Notes","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Estimates Start After"
"Ethiopia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","63.081","72.12","76.841","80.207","92.608","96.611","99.261","118.958","159.761","143.123","117.457","2023"
"Fiji","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","4.682","4.93","5.353","5.581","5.444","4.432","4.305","4.97","5.442","5.949","6.257","2023"
"Finland","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","233.234","238.712","253.757","273.993","267.044","269.784","294.419","280.474","295.036","298.833","303.945","2024"
"France","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","2,442.731","2,469.726","2,587.955","2,782.838","2,723.094","2,645.806","2,968.405","2,797.049","3,056.880","3,162.023","3,211.292","2024"
"Gabon","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","14.385","14.02","14.924","16.83","16.875","15.364","19.455","20.485","20.059","20.774","20.391","2023"
"The Gambia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1.355","1.47","1.498","1.662","1.806","1.809","2.045","2.135","2.345","2.558","2.771","2023"
"Georgia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","15.223","15.445","16.472","17.905","17.645","16.013","18.849","24.985","30.778","33.775","35.353","2024"
"Germany","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","3,423.915","3,536.808","3,761.764","4,053.846","3,957.645","3,936.989","4,351.188","4,166.872","4,527.009","4,658.526","4,744.804","2024"
"Ghana","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","49.437","56.144","60.385","67.259","68.353","70.008","79.514","73.919","80.547","82.825","88.332","2023"
"Greece","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","194.587","193.044","200.31","213.396","207.329","191.21","218.449","219.053","243.569","257.067","267.348","2024"
"Grenada","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.997","1.062","1.126","1.167","1.213","1.043","1.123","1.231","1.325","1.392","1.464","2022"
"Guatemala","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","62.18","66.034","71.624","73.331","77.156","77.718","86.467","95.631","104.436","112.575","121.177","2023"
"Guinea","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","8.79","8.604","10.325","11.857","13.443","14.089","16.32","19.589","22.75","25.758","30.094","2021"
"Guinea-Bissau","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1.153","1.245","1.469","1.555","1.487","1.523","1.722","1.721","2.005","2.184","2.274","2023"
"Guyana","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","4.28","4.483","4.748","4.788","5.174","5.471","8.041","14.718","16.919","24.659","25.822","2024"
"Haiti","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","14.831","13.996","15.036","16.454","14.787","14.508","21.017","19.826","19.603","26.229","33.548","2024"
"Honduras","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","20.834","21.564","22.982","23.907","24.711","23.19","27.95","31.233","34.229","36.965","38.172","2023"
"Hong Kong SAR","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","309.386","320.86","341.271","361.731","363.075","344.941","368.954","358.68","381.066","407.107","423.999","2024"
"Hungary","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","125.244","128.984","143.335","161.185","164.927","158.468","183.283","178.321","214.098","223.06","237.07","2024"
"Iceland","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","17.517","20.793","24.728","26.261","24.681","21.63","25.77","28.696","31.452","33.463","35.309","2024"
"India","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","2,103.588","2,294.797","2,651.474","2,702.930","2,835.606","2,674.852","3,167.271","3,346.107","3,638.490","3,909.097","4,187.017","2024"
"Indonesia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","860.854","931.877","1,015.619","1,042.272","1,119.100","1,059.055","1,186.510","1,319.101","1,371.169","1,396.300","1,429.743","2024"
"Islamic Republic of Iran","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","408.288","458.042","486.829","332.846","241.658","195.528","289.294","376.254","372.82","401.357","341.013","2024"
